2017;2017/01/16;Expenses;EGW;Elegant;105.81;EUR;6542.47;EUR
2017;2017/02/16;Expenses;EGW;Elegant;105.81;EUR;6648.28;EUR
2017;2017/03/14;Expenses;EGW;Elegant;105.81;EUR;6754.09;EUR
2017;2017/04/05;Expenses;EGW;TMVW;138.00;EUR;6892.09;EUR
2017;2017/04/13;Expenses;EGW;Elegant;105.81;EUR;6997.90;EUR
2017;2017/05/19;Expenses;EGW;Elegant;105.81;EUR;7103.71;EUR
2017;2017/06/16;Expenses;EGW;Elegant;105.81;EUR;7209.52;EUR
2017;2017/07/05;Expenses;EGW;TMVW;138.00;EUR;7347.52;EUR
2017;2017/07/17;Expenses;EGW;Elegant;105.81;EUR;7453.33;EUR
2017;2017/08/18;Expenses;EGW;Elegant;105.81;EUR;7559.14;EUR
2017;2017/08/28;Expenses;EGW;TMVW;145.36;EUR;7704.50;EUR
2017;2017/08/31;Expenses;EGW;Elegant;96.72;EUR;7801.22;EUR
2017;2017/08/31;Expenses;EGW;Elegant;-46.96;EUR;7754.26;EUR
2017;2017/09/18;Expenses;EGW;Elegant;123.80;EUR;7878.06;EUR
2017;2017/10/18;Expenses;EGW;Elegant;123.80;EUR;8001.86;EUR
2017;2017/11/23;Expenses;EGW;Elegant;123.80;EUR;8125.66;EUR
2017;2017/12/18;Expenses;EGW;Elegant;123.80;EUR;8249.46;EUR
2017;2017/12/21;Expenses;EGW;TMVW;151.00;EUR;8400.46;EUR
2018;2018/01/19;Expenses;EGW;Elegant;123.80;EUR;8524.26;EUR
2018;2018/02/16;Expenses;EGW;Elegant;123.80;EUR;8648.06;EUR
